City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Leshukonskoye,RU,2021-07-28 05:21:27,64.8989,45.7622,49.33,70,90,4.79
151,Salalah,OM,2021-07-28 05:20:30,17.0151,54.0924,78.89,94,90,8.05
152,Saskylakh,RU,2021-07-28 05:21:27,71.9167,114.0833,70.18,32,14,19.04
153,Xinzhi,CN,2021-07-28 05:21:28,36.4989,111.7047,84.81,54,100,1.48
154,Tateyama,JP,2021-07-28 05:21:28,34.9833,139.8667,87.98,82,73,19.51
155,Aginskoye,RU,2021-07-28 05:21:29,51.1,114.53,74.21,55,33,4.59
156,Padang,ID,2021-07-28 05:21:29,-0.9492,100.3543,83.93,74,67,5.53
157,Port Macquarie,AU,2021-07-28 05:21:30,-31.4333,152.9167,80.56,44,4,10.83
158,Hailar,CN,2021-07-28 05:20:43,49.2,119.7,77.56,49,47,11.41
159,Kloulklubed,PW,2021-07-28 05:21:30,7.0419,134.2556,84.7,75,91,12.91
160,Tezu,IN,2021-07-28 05:19:12,27.9167,96.1667,95.61,49,62,3.71
161,Tornio,FI,2021-07-28 05:21:31,65.8481,24.1466,66.22,69,23,3.96
162,Ornskoldsvik,SE,2021-07-28 05:21:31,63.2909,18.7153,68.95,64,12,3.44
163,Bilibino,RU,2021-07-28 05:21:32,68.0546,166.4372,43.68,77,100,3.67
164,Bima,ID,2021-07-28 05:21:32,-8.4667,118.7167,93.04,43,25,4.72
165,Saint-Georges,GD,2021-07-28 05:19:01,12.0564,-61.7485,80.28,83,20,11.5
166,Genhe,CN,2021-07-28 05:21:33,50.7833,121.5167,72.1,64,97,7.9
167,Kaeo,NZ,2021-07-28 05:21:33,-35.1,173.7833,60.33,78,78,5.37
168,Ribeira Grande,PT,2021-07-28 05:21:34,38.5167,-28.7,71.73,86,60,8.88
169,Whitehaven,GB,2021-07-28 05:21:34,54.549,-3.5841,60.19,96,100,15.23
170,Faya,SA,2021-07-28 05:21:35,18.3851,42.4509,66.31,75,65,5.68
171,Belgrade,RS,2021-07-28 05:20:25,44.804,20.4651,76.66,69,0,4.61
172,Fujin,CN,2021-07-28 05:21:35,47.26,132.0322,102.16,26,12,7.99
173,Ulladulla,AU,2021-07-28 05:21:36,-35.35,150.4667,67.87,49,81,15.95
174,Svetlogorsk,BY,2021-07-28 05:21:36,52.6333,29.7333,67.53,90,74,5.08
175,Kathmandu,NP,2021-07-28 05:17:44,27.7167,85.3167,80.82,74,75,3.44
176,Waipawa,NZ,2021-07-28 05:21:37,-41.4122,175.5153,52.03,79,0,3.6
177,Poum,NC,2021-07-28 05:21:37,-20.2333,164.0167,72.36,61,3,14.52
178,Cherskiy,RU,2021-07-28 05:21:37,68.75,161.3,38.46,74,100,16.78
179,Kaitangata,NZ,2021-07-28 05:21:38,-46.2817,169.8464,49.93,70,57,2.44
180,Bo Rai,TH,2021-07-28 05:21:38,12.5728,102.5371,87.85,86,100,7.99
181,Chapais,CA,2021-07-28 05:21:39,49.7834,-74.8492,42.58,76,52,2.64
182,Kodiak,US,2021-07-28 05:21:39,57.79,-152.4072,60.31,63,90,12.66
183,Victoria Point,AU,2021-07-28 05:21:40,-27.5833,153.3,78.48,68,16,4.0
184,Mar Del Plata,AR,2021-07-28 05:21:40,-38.0023,-57.5575,44.13,64,90,8.99
185,Castro,BR,2021-07-28 05:21:40,-24.7911,-50.0119,41.31,94,86,5.44
186,Lorengau,PG,2021-07-28 05:19:49,-2.0226,147.2712,84.92,71,10,6.08
187,Naze,JP,2021-07-28 05:19:16,28.3667,129.4833,83.32,84,61,11.95
188,Zorritos,PE,2021-07-28 05:21:41,-3.6805,-80.6782,73.38,78,95,3.33
189,Renfrew,GB,2021-07-28 05:21:42,55.872,-4.3925,58.51,92,75,4.61
190,Gat,IL,2021-07-28 05:19:03,31.61,34.7642,82.4,69,0,3.74
191,Sao Bento,BR,2021-07-28 05:21:42,-6.2833,-37.75,68.27,83,3,5.1
192,Ambilobe,MG,2021-07-28 05:21:43,-13.2,49.05,72.18,63,1,3.15
193,Kuching,MY,2021-07-28 05:21:43,1.55,110.3333,91.62,62,40,2.3
194,Egvekinot,RU,2021-07-28 05:21:43,66.3167,-179.1667,39.06,90,100,12.1
195,Bathsheba,BB,2021-07-28 05:21:44,13.2167,-59.5167,81.21,78,20,17.27
196,Storforshei,NO,2021-07-28 05:21:44,66.4043,14.5233,64.18,72,0,3.44
197,Port-De-Bouc,FR,2021-07-28 05:21:45,43.4,4.9833,73.96,66,90,5.75
198,Polovinnoye,RU,2021-07-28 05:21:45,54.7914,65.9864,65.35,55,48,12.01
199,Nuuk,GL,2021-07-28 05:21:46,64.1835,-51.7216,50.61,62,19,12.66
200,Utete,TZ,2021-07-28 05:21:46,-7.986,38.758,70.83,71,0,0.29
201,Pevek,RU,2021-07-28 05:21:47,69.7008,170.3133,38.52,86,97,14.36
202,Sechura,PE,2021-07-28 05:21:47,-5.5569,-80.8222,68.45,80,60,12.46
203,Alofi,NU,2021-07-28 05:21:48,-19.0595,-169.9187,69.69,100,97,10.36
204,Mahebourg,MU,2021-07-28 05:21:48,-20.4081,57.7,70.09,78,75,18.41
205,San Carlos,VE,2021-07-28 05:20:16,9.6612,-68.5827,72.81,96,98,2.68
206,Jalu,LY,2021-07-28 05:21:49,29.0331,21.5482,80.92,42,0,4.81
207,Tuktoyaktuk,CA,2021-07-28 05:21:49,69.4541,-133.0374,50.0,87,90,10.36
208,Vysokogornyy,RU,2021-07-28 05:21:50,50.1167,139.15,90.61,40,18,10.09
209,Dingle,PH,2021-07-28 05:21:50,10.9995,122.6711,87.31,67,78,17.72
210,Salinas,US,2021-07-28 05:21:51,36.6777,-121.6555,70.45,82,90,8.05
211,Pangody,RU,2021-07-28 05:21:51,65.85,74.4859,53.15,79,99,10.51
212,Bailieborough,IE,2021-07-28 05:21:52,53.9167,-6.9667,51.44,98,61,4.81
213,Touros,BR,2021-07-28 05:21:52,-5.1989,-35.4608,74.3,90,12,10.87
214,Whitehorse,CA,2021-07-28 05:21:52,60.7161,-135.0538,59.31,62,75,15.01
215,Sept-Iles,CA,2021-07-28 05:21:53,50.2001,-66.3821,58.05,74,90,5.01
216,Yulara,AU,2021-07-28 05:21:53,-25.2406,130.9889,76.84,29,40,5.75
217,Itoman,JP,2021-07-28 05:21:54,26.1247,127.6694,93.58,74,75,11.5
218,Tual,ID,2021-07-28 05:21:54,-5.6667,132.75,81.09,82,99,12.86
219,Jinhua,CN,2021-07-28 05:21:55,29.1078,119.6547,89.24,73,86,2.28
220,Auki,SB,2021-07-28 05:21:55,-8.7676,160.7034,84.83,62,80,2.95
221,Roald,NO,2021-07-28 05:21:56,62.5833,6.1333,70.16,94,0,2.3
222,Miles City,US,2021-07-28 05:21:46,46.4083,-105.8406,91.51,19,1,13.8
223,Damghan,IR,2021-07-28 05:21:56,36.1683,54.348,85.24,36,0,4.16
224,Boralday,KZ,2021-07-28 05:21:57,43.3578,76.8594,84.06,24,20,8.95
225,Christchurch,NZ,2021-07-28 05:17:18,-43.5333,172.6333,52.0,72,75,4.0
226,Buritama,BR,2021-07-28 05:21:57,-21.0661,-50.1472,59.92,71,36,8.63
227,Lompoc,US,2021-07-28 05:21:58,34.6391,-120.4579,63.01,81,90,6.91
228,Atbasar,KZ,2021-07-28 05:21:58,51.8,68.3333,71.33,35,20,9.82
229,Chumikan,RU,2021-07-28 05:21:59,54.7183,135.315,76.14,54,52,8.19
230,Yelizovo,RU,2021-07-28 05:21:59,53.1873,158.3805,84.34,39,20,13.42
231,Marathon,US,2021-07-28 05:22:00,44.9,-89.7668,71.13,90,40,4.61
232,Vila Franca Do Campo,PT,2021-07-28 05:22:00,37.7167,-25.4333,68.41,90,14,7.78
233,Rawson,AR,2021-07-28 05:22:00,-43.3002,-65.1023,40.03,72,18,8.97
234,Coquimbo,CL,2021-07-28 05:22:01,-29.9533,-71.3436,46.13,93,0,3.44
235,Wahpeton,US,2021-07-28 05:22:01,46.2652,-96.6059,81.32,94,75,8.05
236,Los Llanos De Aridane,ES,2021-07-28 05:22:02,28.6585,-17.9182,69.55,85,90,12.66
237,Villa Guerrero,MX,2021-07-28 05:22:02,18.8667,-99.65,66.58,89,99,4.68
238,Saint-Augustin,CA,2021-07-28 05:22:03,51.226,-58.6502,59.99,97,99,5.99
239,Gorontalo,ID,2021-07-28 05:22:03,0.5412,123.0595,89.01,59,14,8.63
240,Manacapuru,BR,2021-07-28 05:22:03,-3.2997,-60.6206,77.58,65,4,2.84
241,Tubuala,PA,2021-07-28 05:22:04,9.5167,-79.0333,77.32,81,92,3.74
242,Black Diamond,US,2021-07-28 05:22:04,47.3087,-122.0032,73.04,67,100,2.73
243,Tura,IN,2021-07-28 05:19:34,25.5198,90.2201,85.08,70,97,9.08
244,Flinders,AU,2021-07-28 05:22:05,-34.5833,150.8552,72.21,44,79,11.99
245,Basse-Pointe,MQ,2021-07-28 05:22:05,14.8695,-61.115,79.84,46,13,12.35
