City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
410,Lanzhot,CZ,80.89,overcast clouds,48.7244,16.9669,Penzion Toscana
411,Sal Rei,CV,79.0,broken clouds,16.1833,-22.9167,Marine Club Beach Resort
413,Puerto Escondido,MX,88.63,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
414,Yanam,IN,83.43,overcast clouds,16.7333,82.2167,The Regency Hotel
418,Razole,IN,82.42,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
426,Hobyo,SO,76.89,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
427,Ujszilvas,HU,83.01,clear sky,47.2748,19.9248,
428,Biak,ID,75.24,scattered clouds,-0.9131,122.8766,Penginapan Kim
429,Ewa Beach,US,80.55,few clouds,21.3156,-158.0072,Uncle Junior Robert
433,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
436,Tashla,RU,76.12,broken clouds,51.7716,52.7427,Torch Hotel
438,Elko,US,78.75,scattered clouds,41.0002,-115.5012,
440,Shimoda,JP,76.1,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
442,Weligama,LK,79.0,overcast clouds,5.9667,80.4167,Weligama Bay Resort
444,Gushikawa,JP,81.63,broken clouds,26.3544,127.8686,Kirari Guest House
447,Surt,LY,87.21,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
449,Half Moon Bay,US,81.18,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
450,Oriximina,BR,77.63,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
454,Naze,JP,78.71,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
463,Altagracia De Orituco,VE,82.69,scattered clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
466,Pontiac,US,79.45,smoke,42.6389,-83.2911,Embassy Suites by Hilton Auburn Hills
467,Mahajanga,MG,75.79,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
469,Mogadishu,SO,76.44,overcast clouds,2.0371,45.3438,Hotel Juba
470,Jalingo,NG,75.49,overcast clouds,8.8833,11.3667,Debright Motel
473,Kupang,ID,75.47,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
476,Dostpur,IN,79.86,overcast clouds,26.2833,82.4667,SIR JOHN B.M.
483,San-Pedro,CI,76.44,broken clouds,4.7485,-6.6363,Hotel Maria
485,Araceli,PH,83.12,broken clouds,10.5529,119.9913,JBryan Traveler's Inn
487,Kropotkin,RU,78.62,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
489,Wanning,CN,82.09,overcast clouds,18.8003,110.3967,Paradise Hotel
492,Idah,NG,78.1,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
493,Kloulklubed,PW,84.16,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
494,Yumen,CN,80.17,broken clouds,40.2833,97.2,
496,Ugoofaaru,MV,82.71,broken clouds,5.6667,73.0,Ungoofaaru Inn
499,Satipo,PE,83.12,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
501,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
504,Guerrero Negro,MX,82.81,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
506,Miri,MY,79.02,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
509,Diapaga,BF,76.5,light rain,12.0708,1.7889,
515,Santa Maria Del Oro,MX,82.53,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
520,Hollister,US,80.78,clear sky,36.8525,-121.4016,Hollister Inn
522,Srebrenica,BA,75.97,broken clouds,44.1064,19.2969,MX - prenocista
523,Sooke,CA,78.44,overcast clouds,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
524,Zyrardow,PL,76.8,overcast clouds,52.0488,20.446,Aparthotel Stara Przędzalnia
525,Honiara,SB,75.79,overcast clouds,-9.4333,159.95,Heritage Park Hotel
526,Prince Albert,CA,82.42,clear sky,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
528,Alexandria,EG,82.65,clear sky,31.2156,29.9553,Royal Crown Hotel
529,Sao Jose Da Coroa Grande,BR,78.96,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
532,Shenzhen,CN,86.27,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
533,Jardim,BR,80.53,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
535,Makakilo City,US,79.12,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
536,Wainwright,CA,86.4,clear sky,52.839,-110.8572,Ramada by Wyndham Wainwright
538,Durango,MX,75.78,few clouds,24.8333,-104.8333,
540,Southbridge,US,75.81,clear sky,42.0751,-72.0334,Southbridge Hotel & Conference Center
541,San Cristobal,VE,86.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
543,Cururupu,BR,85.59,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
550,Malinyi,TZ,76.3,broken clouds,-8.9333,36.1333,
558,Saint Anthony,US,85.24,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
562,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
563,Jiayuguan,CN,76.15,scattered clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
564,Bubaque,GW,77.72,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
567,Komsomolskiy,UZ,83.12,broken clouds,40.4272,71.7189,Ikathouse
568,Vila Franca Do Campo,PT,77.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
569,San Jose,US,81.12,few clouds,37.3394,-121.895,The Westin San Jose
576,Aksu,CN,77.43,clear sky,41.1231,80.2644,Pudong Holiday Hotel
578,Eyl,SO,76.46,scattered clouds,7.9803,49.8164,Amiin Hotel
580,Kaohsiung,TW,80.55,broken clouds,22.6163,120.3133,御宿商旅-中山館
581,Karpathos,GR,80.56,clear sky,35.507,27.2132,Alex
582,Anloga,GH,78.03,few clouds,5.7947,0.8973,Pin Drop Hotel
583,Palauig,PH,81.21,moderate rain,15.435,119.9045,Myhousebythesea
584,Hamilton,US,80.08,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
585,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
586,Bodden Town,KY,89.98,few clouds,19.2833,-81.25,Will T Place
588,Sereflikochisar,TR,80.33,clear sky,38.9393,33.5386,Yıldırım Hotel
592,Dwarka,IN,82.02,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
593,Santa Isabel Do Rio Negro,BR,89.35,broken clouds,-0.4139,-65.0192,Hotel GSA
594,Koson,UZ,86.32,scattered clouds,39.0375,65.585,
596,Tucumcari,US,89.94,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
598,Acapulco,MX,87.62,smoke,16.8634,-99.8901,HS Hotsson Smart Acapulco
599,Bairiki,KI,77.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
603,Padang,ID,76.3,overcast clouds,-0.9492,100.3543,Mercure Padang
605,Smoky Lake,CA,84.49,clear sky,54.1169,-112.4686,Country Garden Hotel
607,Harindanga,IN,84.18,overcast clouds,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
608,Kribi,CM,77.41,scattered clouds,2.95,9.9167,Les Vagues bleues
614,Biltine,TD,88.61,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
618,Axim,GH,78.33,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
621,Qandala,SO,87.12,overcast clouds,11.472,49.8728,
623,Tezu,IN,76.23,overcast clouds,27.9167,96.1667,Circuit House
626,South Lake Tahoe,US,80.06,overcast clouds,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
629,Lodja,CD,81.23,broken clouds,-3.4833,23.4333,
636,Lafiagi,NG,77.04,light rain,8.8667,5.4167,Bus group international
641,Ternate,ID,80.73,clear sky,0.8,127.4,Grand Dafam Bela Ternate
642,Bulancak,TR,75.02,scattered clouds,40.9372,38.2291,Başoğlu Bulancak Otel
647,Guntakal,IN,76.68,overcast clouds,15.1667,77.3833,Vasavi Pipes Office
651,Gillette,US,81.81,haze,44.2911,-105.5022,National 9 Inn - Gillette WY
652,Dumabato,PH,76.3,overcast clouds,16.3167,121.7,JBT MOUNTAIN VIEW RECREATIONAL PLACE
653,Dombarovskiy,RU,79.95,broken clouds,50.7587,59.5386,
656,Gimli,CA,77.43,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
658,Yangambi,CD,79.84,overcast clouds,0.8102,24.4336,
659,Donghai,CN,82.94,overcast clouds,22.9459,115.642,Huacheng Restaurant
660,Lewiston,US,75.74,clear sky,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
661,Romny,UA,77.74,scattered clouds,50.751,33.4747,Floriana
665,Umm Kaddadah,SD,84.61,broken clouds,13.6017,26.6876,
669,Tucurui,BR,87.89,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
